Index,Time,SPE,Threshold,Anomaly_status,io_usage,cpu_percent,network_usage,ram_usage,Container
0,2019-11-28 21:41:46.919000,5080.335383725791,8921.90933914565,0,36880000,0.43,22400,103263764.48,6a5af19b5b83
1,2019-11-28 21:41:47.707000,5337.944538878482,8921.90933914565,0,182400000,1.63,24080,363142840.32,5d2823fff256
2,2019-11-28 21:41:47.753000,2619.205252068081,8921.90933914565,0,424000000,0.98,30160,251658240.0,2a92371640c3
3,2019-11-28 21:41:47.796000,236.43777197400678,8921.90933914565,0,0,5.75,23680,11596411699.2,1d1a77a500f9
4,2019-11-28 21:41:48.433000,3346.4348655909143,8921.90933914565,0,4456000,0.19,23680,128765132.8,4cc3cf79a2c4
5,2019-11-28 21:41:48.533000,2984.9368934806835,8921.90933914565,0,0,0.36,23680,1257452339.2,abbf5599c150
6,2019-11-28 21:41:48.622000,2415.3341900184596,8921.90933914565,0,71440000,0.53,25440,485364858.88,1cb4575d17f4
7,2019-11-28 21:41:48.709000,7385.787401883115,8921.90933914565,0,1016000000,0.95,33520,390825246.72,2eeb54d55f3b
8,2019-11-28 21:41:48.756000,3265.2444394894883,8921.90933914565,0,5176000,0.47,23680,471523655.68,7437635703d2
9,2019-11-28 21:41:48.855000,3133.301933043841,8921.90933914565,0,4064000,0.43,23680,910163968.0,01f13e58f338
10,2019-11-28 21:41:48.957000,291.25067818340517,8921.90933914565,0,0,6.71,23680,11390253268.992,6ffd41e1fbc1
11,2019-11-28 21:41:49.070000,2665.373504036303,8921.90933914565,0,0,0.85,23680,2459539865.6,f06963f3ad95
12,2019-11-28 21:41:49.167000,14138.755788594493,8921.90933914565,0,209600000,0.62,44000,106535321.6,bca9d260c15b
13,2019-11-28 21:41:49.210000,5080.335383725791,8921.90933914565,0,36880000,0.43,22400,103263764.48,6a5af19b5b83
14,2019-11-28 21:41:49.210000,5337.944538878482,8921.90933914565,0,182400000,1.63,24080,363142840.32,5d2823fff256
15,2019-11-28 21:41:49.210000,2619.205252068081,8921.90933914565,0,424000000,0.98,30160,251658240.0,2a92371640c3
16,2019-11-28 21:41:49.210000,236.43777197400678,8921.90933914565,0,0,5.75,23680,11596411699.2,1d1a77a500f9
17,2019-11-28 21:41:49.210000,3346.4348655909143,8921.90933914565,0,4456000,0.19,23680,128765132.8,4cc3cf79a2c4
18,2019-11-28 21:41:49.211000,2984.9368934806835,8921.90933914565,0,0,0.36,23680,1257452339.2,abbf5599c150
19,2019-11-28 21:41:49.211000,2415.3341900184596,8921.90933914565,0,71440000,0.53,25440,485364858.88,1cb4575d17f4
20,2019-11-28 21:41:49.211000,7385.787401883115,8921.90933914565,0,1016000000,0.95,33520,390825246.72,2eeb54d55f3b
21,2019-11-28 21:41:49.211000,3265.2444394894883,8921.90933914565,0,5176000,0.47,23680,471523655.68,7437635703d2
22,2019-11-28 21:41:49.211000,3133.301933043841,8921.90933914565,0,4064000,0.43,23680,910163968.0,01f13e58f338
23,2019-11-28 21:41:49.211000,291.25067818340517,8921.90933914565,0,0,6.71,23680,11390253268.992,6ffd41e1fbc1
24,2019-11-28 21:41:49.211000,2665.373504036303,8921.90933914565,0,0,0.85,23680,2459539865.6,f06963f3ad95
25,2019-11-28 21:41:49.211000,14138.755788594493,8921.90933914565,0,209600000,0.62,44000,106535321.6,bca9d260c15b
26,2019-11-28 21:41:49.212000,4231.180115158474,8921.90933914565,0,39120000,0.18,23280,103431536.64,6a5af19b5b83
27,2019-11-28 21:41:49.213000,5381.269362557007,8921.90933914565,0,185600000,0.87,24080,366162739.2,5d2823fff256
28,2019-11-28 21:41:49.213000,2619.206399005693,8921.90933914565,0,424000000,0.08,30160,251658240.0,2a92371640c3
29,2019-11-28 21:41:49.213000,236.46725707308224,8921.90933914565,0,0,7.75,23680,11596411699.2,1d1a77a500f9
30,2019-11-28 21:41:49.213000,3346.434947645361,8921.90933914565,0,4456000,0.0,23680,128765132.8,4cc3cf79a2c4
31,2019-11-28 21:41:49.213000,2984.9370753262133,8921.90933914565,0,0,0.0,23680,1257452339.2,abbf5599c150
32,2019-11-28 21:41:49.213000,2415.3345626601895,8921.90933914565,0,71440000,0.0,25440,485364858.88,1cb4575d17f4
33,2019-11-28 21:41:49.214000,7334.985990042003,8921.90933914565,0,1016000000,2.86,33520,581917736.96,2eeb54d55f3b
34,2019-11-28 21:41:49.214000,3265.244635454085,8921.90933914565,0,5176000,0.0,23680,471523655.68,7437635703d2
35,2019-11-28 21:41:49.214000,3133.3021309630362,8921.90933914565,0,4064000,0.0,23680,910163968.0,01f13e58f338
36,2019-11-28 21:41:49.214000,291.2312103870624,8921.90933914565,0,0,4.1,23680,11390253268.992,6ffd41e1fbc1
37,2019-11-28 21:41:49.214000,2665.373965186878,8921.90933914565,0,0,0.0,23680,2459539865.6,f06963f3ad95
38,2019-11-28 21:41:49.214000,14138.75588256017,8921.90933914565,0,209600000,0.05,44000,106535321.6,bca9d260c15b
39,2019-11-28 21:41:49.214000,4231.180115158474,8921.90933914565,0,39120000,0.18,23280,103431536.64,6a5af19b5b83
40,2019-11-28 21:41:49.214000,5381.269362557007,8921.90933914565,0,185600000,0.87,24080,366162739.2,5d2823fff256
41,2019-11-28 21:41:49.214000,2619.206399005693,8921.90933914565,0,424000000,0.08,30160,251658240.0,2a92371640c3
