Index,Time,SPE,Threshold,outlier_status,ram_usage,io_usage,network_usage,cpu_percent,Container
0,2019-11-28 18:41:46.919000,5080.3353837346895,8921.909339145348,0,103263764.48,36880000,22400,0.43,6a5af19b5b83
1,2019-11-28 18:41:47.707000,5337.944538879315,8921.909339145348,0,363142840.32,182400000,24080,1.63,5d2823fff256
2,2019-11-28 18:41:47.753000,2619.2052520558473,8921.909339145348,0,251658240.0,424000000,30160,0.98,2a92371640c3
3,2019-11-28 18:41:47.796000,236.43777193657132,8921.909339145348,0,11596411699.2,0,23680,5.75,1d1a77a500f9
4,2019-11-28 18:41:48.433000,3346.4348656013926,8921.909339145348,0,128765132.8,4456000,23680,0.19,4cc3cf79a2c4
5,2019-11-28 18:41:48.533000,2984.9368934900535,8921.909339145348,0,1257452339.2,0,23680,0.36,abbf5599c150
6,2019-11-28 18:41:48.622000,2415.3341900248256,8921.909339145348,0,485364858.88,71440000,25440,0.53,1cb4575d17f4
7,2019-11-28 18:41:48.709000,7385.787401839555,8921.909339145348,0,390825246.72,1016000000,33520,0.95,2eeb54d55f3b
8,2019-11-28 18:41:48.756000,3265.244439499566,8921.909339145348,0,471523655.68,5176000,23680,0.47,7437635703d2
9,2019-11-28 18:41:48.855000,3133.3019330534266,8921.909339145348,0,910163968.0,4064000,23680,0.43,01f13e58f338
10,2019-11-28 18:41:48.957000,291.25067814257824,8921.909339145348,0,11390253268.992,0,23680,6.71,6ffd41e1fbc1
11,2019-11-28 18:41:49.070000,2665.3735040442775,8921.909339145348,0,2459539865.6,0,23680,0.85,f06963f3ad95
12,2019-11-28 18:41:49.167000,14138.755788594606,8921.909339145348,0,106535321.6,209600000,44000,0.62,bca9d260c15b
13,2019-11-28 18:41:49.210000,5080.3353837346895,8921.909339145348,0,103263764.48,36880000,22400,0.43,6a5af19b5b83
14,2019-11-28 18:41:49.210000,5337.944538879315,8921.909339145348,0,363142840.32,182400000,24080,1.63,5d2823fff256
15,2019-11-28 18:41:49.210000,2619.2052520558473,8921.909339145348,0,251658240.0,424000000,30160,0.98,2a92371640c3
16,2019-11-28 18:41:49.210000,236.43777193657132,8921.909339145348,0,11596411699.2,0,23680,5.75,1d1a77a500f9
17,2019-11-28 18:41:49.210000,3346.4348656013926,8921.909339145348,0,128765132.8,4456000,23680,0.19,4cc3cf79a2c4
18,2019-11-28 18:41:49.211000,2984.9368934900535,8921.909339145348,0,1257452339.2,0,23680,0.36,abbf5599c150
19,2019-11-28 18:41:49.211000,2415.3341900248256,8921.909339145348,0,485364858.88,71440000,25440,0.53,1cb4575d17f4
20,2019-11-28 18:41:49.211000,7385.787401839555,8921.909339145348,0,390825246.72,1016000000,33520,0.95,2eeb54d55f3b
