Index,Time,SPE,Threshold,outlier_status,io_usage,network_usage,cpu_percent,ram_usage,Container
0,2019-11-28 18:41:46.919000,5080.3353842736005,8921.909340156095,0,36880000,22400,0.43,103263764.48,6a5af19b5b83
1,2019-11-28 18:41:47.707000,5337.944539289231,8921.909340156095,0,182400000,24080,1.63,363142840.32,5d2823fff256
2,2019-11-28 18:41:47.753000,2619.20525239379,8921.909340156095,0,424000000,30160,0.98,251658240.0,2a92371640c3
3,2019-11-28 18:41:47.796000,236.4377694812391,8921.909340156095,0,0,23680,5.75,11596411699.2,1d1a77a500f9
4,2019-11-28 18:41:48.433000,3346.434866147202,8921.909340156095,0,4456000,23680,0.19,128765132.8,4cc3cf79a2c4
5,2019-11-28 18:41:48.533000,2984.936893742148,8921.909340156095,0,0,23680,0.36,1257452339.2,abbf5599c150
6,2019-11-28 18:41:48.622000,2415.3341904491995,8921.909340156095,0,71440000,25440,0.53,485364858.88,1cb4575d17f4
7,2019-11-28 18:41:48.709000,7385.787401893155,8921.909340156095,0,1016000000,33520,0.95,390825246.72,2eeb54d55f3b
8,2019-11-28 18:41:48.756000,3265.2444399553133,8921.909340156095,0,5176000,23680,0.47,471523655.68,7437635703d2
9,2019-11-28 18:41:48.855000,3133.3019333947677,8921.909340156095,0,4064000,23680,0.43,910163968.0,01f13e58f338
10,2019-11-28 18:41:48.957000,291.25067574127036,8921.909340156095,0,0,23680,6.71,11390253268.992,6ffd41e1fbc1
11,2019-11-28 18:41:49.070000,2665.3735039815715,8921.909340156095,0,0,23680,0.85,2459539865.6,f06963f3ad95
12,2019-11-28 18:41:49.167000,14138.75578812888,8921.909340156095,0,209600000,44000,0.62,106535321.6,bca9d260c15b
13,2019-11-28 18:41:49.210000,5080.3353842736005,8921.909340156095,0,36880000,22400,0.43,103263764.48,6a5af19b5b83
14,2019-11-28 18:41:49.210000,5337.944539289231,8921.909340156095,0,182400000,24080,1.63,363142840.32,5d2823fff256
15,2019-11-28 18:41:49.210000,2619.20525239379,8921.909340156095,0,424000000,30160,0.98,251658240.0,2a92371640c3
16,2019-11-28 18:41:49.210000,236.4377694812391,8921.909340156095,0,0,23680,5.75,11596411699.2,1d1a77a500f9
17,2019-11-28 18:41:49.210000,3346.434866147202,8921.909340156095,0,4456000,23680,0.19,128765132.8,4cc3cf79a2c4
18,2019-11-28 18:41:49.211000,2984.936893742148,8921.909340156095,0,0,23680,0.36,1257452339.2,abbf5599c150
19,2019-11-28 18:41:49.211000,2415.3341904491995,8921.909340156095,0,71440000,25440,0.53,485364858.88,1cb4575d17f4
20,2019-11-28 18:41:49.211000,7385.787401893155,8921.909340156095,0,1016000000,33520,0.95,390825246.72,2eeb54d55f3b
21,2019-11-28 18:41:49.211000,3265.2444399553133,8921.909340156095,0,5176000,23680,0.47,471523655.68,7437635703d2
22,2019-11-28 18:41:49.211000,3133.3019333947677,8921.909340156095,0,4064000,23680,0.43,910163968.0,01f13e58f338
23,2019-11-28 18:41:49.211000,291.25067574127036,8921.909340156095,0,0,23680,6.71,11390253268.992,6ffd41e1fbc1
24,2019-11-28 18:41:49.211000,2665.3735039815715,8921.909340156095,0,0,23680,0.85,2459539865.6,f06963f3ad95
25,2019-11-28 18:41:49.211000,14138.75578812888,8921.909340156095,0,209600000,44000,0.62,106535321.6,bca9d260c15b
26,2019-11-28 18:41:49.212000,4231.180115705092,8921.909340156095,0,39120000,23280,0.18,103431536.64,6a5af19b5b83
27,2019-11-28 18:41:49.213000,5381.269362965376,8921.909340156095,0,185600000,24080,0.87,366162739.2,5d2823fff256
28,2019-11-28 18:41:49.213000,2619.206399331309,8921.909340156095,0,424000000,30160,0.08,251658240.0,2a92371640c3
29,2019-11-28 18:41:49.213000,236.46725455377236,8921.909340156095,0,0,23680,7.75,11596411699.2,1d1a77a500f9
30,2019-11-28 18:41:49.213000,3346.434948201601,8921.909340156095,0,4456000,23680,0.0,128765132.8,4cc3cf79a2c4
31,2019-11-28 18:41:49.213000,2984.937075587624,8921.909340156095,0,0,23680,0.0,1257452339.2,abbf5599c150
32,2019-11-28 18:41:49.213000,2415.334563090791,8921.909340156095,0,71440000,25440,0.0,485364858.88,1cb4575d17f4
33,2019-11-28 18:41:49.214000,7334.985990001658,8921.909340156095,0,1016000000,33520,2.86,581917736.96,2eeb54d55f3b
34,2019-11-28 18:41:49.214000,3265.244635919806,8921.909340156095,0,5176000,23680,0.0,471523655.68,7437635703d2
35,2019-11-28 18:41:49.214000,3133.302131313886,8921.909340156095,0,4064000,23680,0.0,910163968.0,01f13e58f338
36,2019-11-28 18:41:49.214000,291.23120797257053,8921.909340156095,0,0,23680,4.1,11390253268.992,6ffd41e1fbc1
37,2019-11-28 18:41:49.214000,2665.3739651321375,8921.909340156095,0,0,23680,0.0,2459539865.6,f06963f3ad95
38,2019-11-28 18:41:49.214000,14138.755882094534,8921.909340156095,0,209600000,44000,0.05,106535321.6,bca9d260c15b
39,2019-11-28 18:41:49.214000,4231.180115705092,8921.909340156095,0,39120000,23280,0.18,103431536.64,6a5af19b5b83
40,2019-11-28 18:41:49.214000,5381.269362965376,8921.909340156095,0,185600000,24080,0.87,366162739.2,5d2823fff256
41,2019-11-28 18:41:49.214000,2619.206399331309,8921.909340156095,0,424000000,30160,0.08,251658240.0,2a92371640c3
42,2019-11-28 18:41:49.214000,236.46725455377236,8921.909340156095,0,0,23680,7.75,11596411699.2,1d1a77a500f9
43,2019-11-28 18:41:49.214000,3346.434948201601,8921.909340156095,0,4456000,23680,0.0,128765132.8,4cc3cf79a2c4
44,2019-11-28 18:41:49.214000,2984.937075587624,8921.909340156095,0,0,23680,0.0,1257452339.2,abbf5599c150
45,2019-11-28 18:41:49.214000,2415.334563090791,8921.909340156095,0,71440000,25440,0.0,485364858.88,1cb4575d17f4
46,2019-11-28 18:41:49.214000,7334.985990001658,8921.909340156095,0,1016000000,33520,2.86,581917736.96,2eeb54d55f3b
47,2019-11-28 18:41:49.214000,3265.244635919806,8921.909340156095,0,5176000,23680,0.0,471523655.68,7437635703d2
48,2019-11-28 18:41:49.214000,3133.302131313886,8921.909340156095,0,4064000,23680,0.0,910163968.0,01f13e58f338
49,2019-11-28 18:41:49.215000,291.23120797257053,8921.909340156095,0,0,23680,4.1,11390253268.992,6ffd41e1fbc1
50,2019-11-28 18:41:49.215000,2665.3739651321375,8921.909340156095,0,0,23680,0.0,2459539865.6,f06963f3ad95
51,2019-11-28 18:41:49.215000,14138.755882094534,8921.909340156095,0,209600000,44000,0.05,106535321.6,bca9d260c15b
52,2019-11-28 18:41:49.215000,4259.840690855557,8921.909340156095,0,41200000,23280,0.09,103515422.72,6a5af19b5b83
53,2019-11-28 18:41:49.215000,5402.48568559653,8921.909340156095,0,187200000,24080,0.84,369350410.24,5d2823fff256
54,2019-11-28 18:41:49.215000,2139.2070672823725,8921.909340156095,0,424000000,30640,0.05,251658240.0,2a92371640c3
55,2019-11-28 18:41:49.215000,236.42555098915324,8921.909340156095,0,0,23680,2.63,11596411699.2,1d1a77a500f9
56,2019-11-28 18:41:49.215000,3346.434948201601,8921.909340156095,0,4456000,23680,0.0,128765132.8,4cc3cf79a2c4
57,2019-11-28 18:41:49.215000,2424.9371858326317,8921.909340156095,0,0,24240,0.0,1257452339.2,abbf5599c150
58,2019-11-28 18:41:49.215000,2415.334563090791,8921.909340156095,0,71440000,25440,0.0,485364858.88,1cb4575d17f4
59,2019-11-28 18:41:49.215000,7334.985990001658,8921.909340156095,0,1016000000,33520,2.86,581917736.96,2eeb54d55f3b
60,2019-11-28 18:41:49.215000,3265.244635919806,8921.909340156095,0,5176000,23680,0.0,471523655.68,7437635703d2
61,2019-11-28 18:41:49.215000,3133.302131313886,8921.909340156095,0,4064000,23680,0.0,910163968.0,01f13e58f338
62,2019-11-28 18:41:49.215000,291.22996759753465,8921.909340156095,0,0,23680,3.06,11390253268.992,6ffd41e1fbc1
63,2019-11-28 18:41:49.215000,2665.3739651321375,8921.909340156095,0,0,23680,0.0,2459539865.6,f06963f3ad95
64,2019-11-28 18:41:49.216000,14138.755882094534,8921.909340156095,0,209600000,44000,0.05,106535321.6,bca9d260c15b
65,2019-11-28 18:41:49.418000,4259.840690855557,8921.909340156095,0,41200000,23280,0.09,103515422.72,6a5af19b5b83
66,2019-11-28 18:41:49.418000,5402.48568559653,8921.909340156095,0,187200000,24080,0.84,369350410.24,5d2823fff256
67,2019-11-28 18:41:49.418000,2139.2070672823725,8921.909340156095,0,424000000,30640,0.05,251658240.0,2a92371640c3
68,2019-11-28 18:41:49.418000,236.42555098915324,8921.909340156095,0,0,23680,2.63,11596411699.2,1d1a77a500f9
69,2019-11-28 18:41:49.418000,3346.434948201601,8921.909340156095,0,4456000,23680,0.0,128765132.8,4cc3cf79a2c4
70,2019-11-28 18:41:49.418000,2424.9371858326317,8921.909340156095,0,0,24240,0.0,1257452339.2,abbf5599c150
71,2019-11-28 18:41:49.418000,1855.334803965054,8921.909340156095,0,71440000,26000,0.0,485364858.88,1cb4575d17f4
72,2019-11-28 18:41:49.418000,7333.207820206908,8921.909340156095,0,1016000000,33520,52.64,589131939.84,2eeb54d55f3b
73,2019-11-28 18:41:49.418000,3265.244635919806,8921.909340156095,0,5176000,23680,0.0,471523655.68,7437635703d2
74,2019-11-28 18:41:49.418000,3133.302131313886,8921.909340156095,0,4064000,23680,0.0,910163968.0,01f13e58f338
75,2019-11-28 18:41:49.418000,291.22996759753465,8921.909340156095,0,0,23680,3.06,11390253268.992,6ffd41e1fbc1
76,2019-11-28 18:41:49.418000,2665.3739651321375,8921.909340156095,0,0,23680,0.0,2459539865.6,f06963f3ad95
77,2019-11-28 18:41:49.418000,14698.800462869762,8921.909340156095,0,209600000,44560,0.11,106703093.76,bca9d260c15b
78,2019-11-28 18:41:49.917000,4259.840690855557,8921.909340156095,0,41200000,23280,0.09,103515422.72,6a5af19b5b83
79,2019-11-28 18:41:49.917000,5402.48568559653,8921.909340156095,0,187200000,24080,0.84,369350410.24,5d2823fff256
80,2019-11-28 18:41:49.917000,2139.2070672823725,8921.909340156095,0,424000000,30640,0.05,251658240.0,2a92371640c3
81,2019-11-28 18:41:49.918000,236.42555098915324,8921.909340156095,0,0,23680,2.63,11596411699.2,1d1a77a500f9
82,2019-11-28 18:41:49.918000,3346.434948201601,8921.909340156095,0,4456000,23680,0.0,128765132.8,4cc3cf79a2c4
83,2019-11-28 18:41:49.918000,2424.9371858326317,8921.909340156095,0,0,24240,0.0,1257452339.2,abbf5599c150
84,2019-11-28 18:41:49.918000,1855.334803965054,8921.909340156095,0,71440000,26000,0.0,485364858.88,1cb4575d17f4
85,2019-11-28 18:41:49.918000,7333.207820206908,8921.909340156095,0,1016000000,33520,52.64,589131939.84,2eeb54d55f3b
86,2019-11-28 18:41:49.918000,3265.244635919806,8921.909340156095,0,5176000,23680,0.0,471523655.68,7437635703d2
87,2019-11-28 18:41:49.918000,3133.302131313886,8921.909340156095,0,4064000,23680,0.0,910163968.0,01f13e58f338
88,2019-11-28 18:41:49.918000,291.22996759753465,8921.909340156095,0,0,23680,3.06,11390253268.992,6ffd41e1fbc1
89,2019-11-28 18:41:49.918000,2665.3739651321375,8921.909340156095,0,0,23680,0.0,2459539865.6,f06963f3ad95
90,2019-11-28 18:41:49.918000,14698.800462869762,8921.909340156095,0,209600000,44560,0.11,106703093.76,bca9d260c15b
91,2019-11-28 18:41:50.418000,4265.2672485549765,8921.909340156095,0,41600000,23280,0.62,103850967.04,6a5af19b5b83
92,2019-11-28 18:41:50.418000,5413.049393399656,8921.909340156095,0,188000000,24080,0.42,371112017.92,5d2823fff256
93,2019-11-28 18:41:50.418000,1739.2076556291145,8921.909340156095,0,424000000,31040,0.14,251658240.0,2a92371640c3
94,2019-11-28 18:41:50.418000,236.4265459179329,8921.909340156095,0,0,23680,2.33,11596411699.2,1d1a77a500f9
95,2019-11-28 18:41:50.418000,2786.435019488656,8921.909340156095,0,4456000,24240,0.0,128765132.8,4cc3cf79a2c4
