ktime,container,node,io_usage,time,pids,ram_limit,cpu_percent,io_limit,network_limit,network_usage,ram_usage,customer_id,application_id
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966509418,1,11596411699.2,2.63,3008000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966509418,1,175992995.84,0,356000000,0,23680,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966509418,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966509418,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966509418,32,73065983639.552,52.64,0,13120,33520,589131939.84,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966509418,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966509418,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966509418,1,11390253268.992,3.06,3248000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966509418,1,4999610368,0,0,0,23680,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,209600000,1574966509418,3,73065983639.552,0.11,0,15360,44560,106703093.76,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,41200000,1574966509917,3,73065983639.552,0.09,0,0,23280,103515422.72,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,187200000,1574966509917,2,73065983639.552,0.84,0,0,24080,369350410.24,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966509917,11,73065983639.552,0.05,589600,8400,30640,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966509918,1,11596411699.2,2.63,3008000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
